CATEGORY DESCRIPTION,SIC DIVISION,MAJOR GROUP,INDUSTRY GROUP,MOST SPECIFIC SIC CODE
Other apparel accessories & other apparel mfg (pt),D,23,239,2399
Motor vehicle seating & interior trim mfg (pt),D,23,239,2399
Lumber and wood products,D,24,24,24
Logging,D,24,241,241
Logging,D,24,241,2411
Logging,D,24,241,2411
Sawmills and planing mills,D,24,242,242
"Sawmills & planing mills, general",D,24,242,2421
Sawmills (pt),D,24,242,2421
"Cut stock, resawing lumber, & planing (pt)",D,24,242,2421
Other millwork (including flooring) (pt),D,24,242,2421
All other miscellaneous wood product mfg (pt),D,24,242,2421
Hardwood dimension & flooring mills,D,24,242,2426
"Cut stock, resawing lumber, & planing (pt)",D,24,242,2426
Other millwork (including flooring) (pt),D,24,242,2426
"Showcase, partition, shelving, & locker mfg (pt)",D,24,242,2426
"Special product sawmills, n.e.c.",D,24,242,2429
Sawmills (pt),D,24,242,2429
Wood container & pallet mfg (pt),D,24,242,2429
All other miscellaneous wood product mfg (pt),D,24,242,2429
"Millwork, plywood, and structural members",D,24,243,243
Millwork,D,24,243,2431
Wood window & door mfg,D,24,243,2431
Other millwork (including flooring) (pt),D,24,243,2431
Wood kitchen cabinets,D,24,243,2434
Wood kitchen cabinet & counter top mfg (pt),D,24,243,2434
Hardwood veneer & plywood,D,24,243,2435
Hardwood veneer & plywood mfg,D,24,243,2435
Softwood veneer & plywood,D,24,243,2436
Softwood veneer & plywood mfg,D,24,243,2436
"Structural wood members, n.e.c.",D,24,243,2439
Sawmills (pt),D,24,243,2439
Engineered wood member (except truss) mfg,D,24,243,2439
Truss mfg,D,24,243,2439
"Cut stock, resawing lumber, & planing (pt)",D,24,243,2439
Wood containers,D,24,244,244
Nailed wood boxes & shook,D,24,244,2441
Wood container & pallet mfg (pt),D,24,244,2441
Wood pallets & skids,D,24,244,2448
Wood container & pallet mfg (pt),D,24,244,2448
"Wood containers, n.e.c.",D,24,244,2449
Wood container & pallet mfg (pt),D,24,244,2449
Wood buildings and mobile homes,D,24,245,245
Mobile homes,D,24,245,2451
Manufactured home (mobile home) mfg,D,24,245,2451
Prefabricated wood buildings,D,24,245,2452
Prefabricated wood building mfg,D,24,245,2452
Miscellaneous wood products,D,24,249,249
Wood preserving,D,24,249,2491
Wood preservation,D,24,249,2491
Reconstituted wood products,D,24,249,2493
Reconstituted wood product mfg,D,24,249,2493
"Wood products, n.e.c.",D,24,249,2499
"Cut stock, resawing lumber, & planing (pt)",D,24,249,2499
Wood container & pallet mfg (pt),D,24,249,2499
All other miscellaneous wood product mfg (pt),D,24,249,2499
Metal window & door mfg (pt),D,24,249,2499
All other miscellaneous mfg (pt),D,24,249,2499
Furniture and fixtures,D,25,25,25
Household furniture,D,25,251,251
Wood household furniture,D,25,251,2511
Nonupholstered wood household furniture mfg (pt),D,25,251,2511
Upholstered household furniture,D,25,251,2512
Upholstered household furniture mfg (pt),D,25,251,2512
Metal household furniture,D,25,251,2514
Metal household furniture mfg,D,25,251,2514
Mattresses & bedsprings,D,25,251,2515
Upholstered household furniture mfg (pt),D,25,251,2515
Mattress mfg,D,25,251,2515
Wood TV & radio cabinets,D,25,251,2517
"Wood television, radio, & sewing machine cabinet mfg",D,25,251,2517
"Household furniture, n.e.c.",D,25,251,2519
Household furniture (except wood & metal) mfg,D,25,251,2519
Office furniture,D,25,252,252
Wood office furniture,D,25,252,2521
Wood office furniture mfg,D,25,252,2521
"Office furniture, except wood",D,25,252,2522
Office furniture (except wood) mfg,D,25,252,2522
Public building and related furniture,D,25,253,253
Public building & related furniture,D,25,253,2531
Motor vehicle seating & interior trim mfg (pt),D,25,253,2531
Institutional furniture mfg (pt),D,25,253,2531
Lead pencil & art good mfg (pt),D,25,253,2531
Partitions and fixtures,D,25,254,254
Wood partitions & fixtures,D,25,254,2541
Wood kitchen cabinet & counter top mfg (pt),D,25,254,2541
Custom architectural woodwork & millwork mfg,D,25,254,2541
"Showcase, partition, shelving, & locker mfg (pt)",D,25,254,2541
"Partitions & fixtures, except wood",D,25,254,2542
"Showcase, partition, shelving, & locker mfg (pt)",D,25,254,2542
Miscellaneous furniture and fixtures,D,25,259,259
"Drapery hardware, blinds, & shades",D,25,259,2591
Blind & shade mfg,D,25,259,2591
"Furniture & fixtures, n.e.c.",D,25,259,2599
Institutional furniture mfg (pt),D,25,259,2599
Surgical appliance & supplies mfg (pt),D,25,259,2599
Paper and allied products,D,26,26,26
Pulp mills,D,26,261,261
Pulp mills,D,26,261,2611
Pulp mills,D,26,261,2611
Paper mills,D,26,262,262
Paper mills,D,26,262,2621
Paper (except newsprint) mills (pt),D,26,262,2621
Newsprint mills,D,26,262,2621
Paperboard mills,D,26,263,263
Paperboard mills,D,26,263,2631
Paperboard mills,D,26,263,2631
Paperboard containers and boxes,D,26,265,265
Setup paperboard boxes,D,26,265,2652
Setup paperboard box mfg,D,26,265,2652
Corrugated & solid fiber boxes,D,26,265,2653
Corrugated & solid fiber box mfg,D,26,265,2653
"Fiber cans, drums, & similar products",D,26,265,2655
"Fiber can, tube, drum, & similar products mfg",D,26,265,2655
Sanitary food containers,D,26,265,2656
Nonfolding sanitary food container mfg,D,26,265,2656
Folding paperboard boxes,D,26,265,2657
Folding paperboard box mfg,D,26,265,2657
Miscellaneous converted paper products,D,26,267,267
"Paper - coated & laminated, packaging",D,26,267,2671
Coated & laminated packaging paper & plastics film mfg,D,26,267,2671
Unsupported plastics packaging film & sheet mfg,D,26,267,2671
"Paper - coated & laminated, n.e.c.",D,26,267,2672
Coated & laminated paper mfg (pt),D,26,267,2672
"Bags - plastics, laminated, & coated",D,26,267,2673
"Plastics, foil, & coated paper bag mfg",D,26,267,2673
Unsupported plastics bag mfg,D,26,267,2673
Bags - uncoated paper & multiwall,D,26,267,2674
Uncoated paper & multiwall bag mfg,D,26,267,2674
Die-cut paper & board,D,26,267,2675
Surface-coated paperboard mfg,D,26,267,2675
Die-cut paper & paperboard office supplies mfg (pt),D,26,267,2675
All other converted paper product mfg (pt),D,26,267,2675
Sanitary paper products,D,26,267,2676
Paper (except newsprint) mills (pt),D,26,267,2676
Sanitary paper product mfg (pt),D,26,267,2676
Envelopes,D,26,267,2677
Envelope mfg,D,26,267,2677
Stationery products,D,26,267,2678
"Stationery, tablet, & related product mfg",D,26,267,2678
"Converted paper products, n.e.c.",D,26,267,2679
Coated & laminated paper mfg (pt),D,26,267,2679
Die-cut paper & paperboard office supplies mfg (pt),D,26,267,2679
All other converted paper product mfg (pt),D,26,267,2679
Printing and publishing,D,27,27,27
Newspapers,D,27,271,271
Newspapers,D,27,271,2711
Newspaper publishers,D,27,271,2711
Periodicals,D,27,272,272
Periodicals,D,27,272,2721
Periodical publishers,D,27,272,2721
Books,D,27,273,273
Book publishing,D,27,273,2731
Book publishers,D,27,273,2731
Music publishers (pt),D,27,273,2731
Book printing,D,27,273,2732
Book printing,D,27,273,2732
Miscellaneous publishing,D,27,274,274
Miscellaneous publishing,D,27,274,2741
Database & directory publishers (pt),D,27,274,2741
All other publishers,D,27,274,2741
Music publishers (pt),D,27,274,2741
Commercial printing,D,27,275,275
"Commercial printing, lithographic",D,27,275,2752
Commercial lithographic printing (pt),D,27,275,2752
Quick printing (pt),D,27,275,2752
"Commercial printing, gravure",D,27,275,2754
Commercial gravure printing (pt),D,27,275,2754
"Commercial printing, n.e.c.",D,27,275,2759
Commercial flexographic printing (pt),D,27,275,2759
Commercial screen printing (pt),D,27,275,2759
Quick printing (pt),D,27,275,2759
Digital printing,D,27,275,2759
Other commercial printing (pt),D,27,275,2759
Manifold business forms,D,27,276,276
Manifold business forms,D,27,276,2761
Manifold business form printing (pt),D,27,276,2761
Greeting cards,D,27,277,277
Greeting cards,D,27,277,2771
Commercial lithographic printing (pt),D,27,277,2771
Commercial gravure printing (pt),D,27,277,2771
Commercial flexographic printing (pt),D,27,277,2771
Commercial screen printing (pt),D,27,277,2771
Other commercial printing (pt),D,27,277,2771
Greeting card publishers,D,27,277,2771
Blankbooks and bookbinding,D,27,278,278
Blankbooks & looseleaf binders,D,27,278,2782
Manifold business form printing (pt),D,27,278,2782
"Blankbook, looseleaf binder, & device mfg",D,27,278,2782
Bookbinding & related work,D,27,278,2789
Tradebinding & related work,D,27,278,2789
Printing trade services,D,27,279,279
Typesetting,D,27,279,2791
Prepress services (pt),D,27,279,2791
Platemaking services,D,27,279,2796
Prepress services (pt),D,27,279,2796
Chemicals and allied products,D,28,28,28
Industrial inorganic chemicals,D,28,281,281
Alkalies & chlorine,D,28,281,2812
Alkalies & chlorine mfg,D,28,281,2812
Industrial gases,D,28,281,2813
Industrial gas mfg (pt),D,28,281,2813
Inorganic pigments,D,28,281,2816
Inorganic dye & pigment mfg (pt),D,28,281,2816
Carbon black mfg (pt),D,28,281,2816
"Industrial inorganic chemicals, n.e.c.",D,28,281,2819
Inorganic dye & pigment mfg (pt),D,28,281,2819
All other basic inorganic chemical mfg (pt),D,28,281,2819
All other miscellaneous chemical product & preparation mfg (pt),D,28,281,2819
Alumina refining,D,28,281,2819
Plastics materials and synthetics,D,28,282,282
Plastics materials & resins,D,28,282,2821
Plastics material & resin mfg,D,28,282,2821
Synthetic rubber,D,28,282,2822
Synthetic rubber mfg,D,28,282,2822
Cellulosic manmade fibers,D,28,282,2823
Cellulosic organic fiber mfg,D,28,282,2823
"Organic fibers, noncellulosic",D,28,282,2824
Noncellulosic organic fiber mfg,D,28,282,2824
Drugs,D,28,283,283
Medicinals & botanicals,D,28,283,2833
Medicinal & botanical mfg,D,28,283,2833
Pharmaceutical preparations,D,28,283,2834
Pharmaceutical preparation mfg (pt),D,28,283,2834
Diagnostic substances,D,28,283,2835
Pharmaceutical preparation mfg (pt),D,28,283,2835
In-vitro diagnostic substance mfg,D,28,283,2835
"Biological products, except diagnostic",D,28,283,2836
Biological product (except diagnostic) mfg,D,28,283,2836
"Soaps, cleaners, and toilet goods",D,28,284,284
Soap & other detergents,D,28,284,2841
Soap & other detergent mfg (pt),D,28,284,2841
Polishes & sanitation goods,D,28,284,2842
Polish & other sanitation good mfg,D,28,284,2842
Surface active agents,D,28,284,2843
Surface active agent mfg,D,28,284,2843
Toilet preparations,D,28,284,2844
Soap & other detergent mfg (pt),D,28,284,2844
Toilet preparation mfg,D,28,284,2844
Paints and allied products,D,28,285,285
Paints & allied products,D,28,285,2851
Paint & coating mfg (pt),D,28,285,2851
Industrial organic chemicals,D,28,286,286
Gum & wood chemicals,D,28,286,2861
Gum & wood chemical mfg,D,28,286,2861
Cyclic crudes & intermediates,D,28,286,2865
Petrochemical mfg (pt),D,28,286,2865
Synthetic organic dye & pigment mfg,D,28,286,2865
Cyclic crude & intermediate mfg,D,28,286,2865
"Industrial organic chemicals, n.e.c.",D,28,286,2869
Petrochemical mfg (pt),D,28,286,2869
Industrial gas mfg (pt),D,28,286,2869
All other basic inorganic chemical mfg (pt),D,28,286,2869
Ethyl alcohol mfg,D,28,286,2869
All other basic organic chemical mfg (pt),D,28,286,2869
Agricultural chemicals,D,28,287,287
Nitrogenous fertilizers,D,28,287,2873
Nitrogenous fertilizer mfg,D,28,287,2873
Phosphatic fertilizers,D,28,287,2874
Phosphatic fertilizer mfg,D,28,287,2874
"Fertilizers, mixing only",D,28,287,2875
Fertilizer (mixing only) mfg,D,28,287,2875
"Agricultural chemicals, n.e.c.",D,28,287,2879
Pesticide & other agricultural chemical mfg,D,28,287,2879
Miscellaneous chemical products,D,28,289,289
Adhesives & sealants,D,28,289,2891
Adhesive mfg,D,28,289,2891
Explosives,D,28,289,2892
Explosives mfg,D,28,289,2892
Printing ink,D,28,289,2893
Printing ink mfg,D,28,289,2893
Carbon black,D,28,289,2895
Carbon black mfg (pt),D,28,289,2895
"Chemical preparations, n.e.c.",D,28,289,2899
Spice & extract mfg (pt),D,28,289,2899
All other basic organic chemical mfg (pt),D,28,289,2899
Paint & coating mfg (pt),D,28,289,2899
All other miscellaneous chemical product & preparation mfg (pt),D,28,289,2899
Petroleum and coal products,D,29,29,29
Petroleum refining,D,29,291,291
Petroleum refining,D,29,291,2911
Petroleum refineries,D,29,291,2911
Asphalt paving and roofing materials,D,29,295,295
Asphalt paving mixtures & blocks,D,29,295,2951
Asphalt paving mixture & block mfg,D,29,295,2951
Asphalt felts & coatings,D,29,295,2952
Asphalt shingle & coating materials mfg,D,29,295,2952
Miscellaneous petroleum and coal products,D,29,299,299
Lubricating oils & greases,D,29,299,2992
Petroleum lubricating oil & grease mfg,D,29,299,2992
"Petroleum & coal products, n.e.c.",D,29,299,2999
All other petroleum & coal products mfg (pt),D,29,299,2999
Rubber and miscellaneous plastics products,D,30,30,30
Tires and inner tubes,D,30,301,301
Tires & inner tubes,D,30,301,3011
Tire mfg (except retreading),D,30,301,3011
Rubber and plastics footwear,D,30,302,302
Rubber & plastics footwear,D,30,302,3021
Rubber & plastics footwear mfg,D,30,302,3021
Hose and belting and gaskets and packing,D,30,305,305
Rubber & plastics hose & belting,D,30,305,3052
Rubber & plastics hoses & belting mfg,D,30,305,3052
"Gaskets, packing & sealing devices",D,30,305,3053
"Gasket, packing, & sealing device mfg",D,30,305,3053
"Fabricated rubber products, n.e.c.",D,30,306,306
Mechanical rubber goods,D,30,306,3061
Rubber product mfg for mechanical use,D,30,306,3061
"Fabricated rubber products, n.e.c.",D,30,306,3069
Fabric coating mills (pt),D,30,306,3069
Resilient floor covering mfg (pt),D,30,306,3069
All other rubber product mfg,D,30,306,3069
"Miscellaneous plastics products, n.e.c.",D,30,308,308
Unsupported plastics film & sheet,D,30,308,3081
Unsupported plastics film & sheet (except packaging) mfg,D,30,308,3081
Unsupported plastics profile shapes,D,30,308,3082
Unsupported plastics profile shape mfg,D,30,308,3082
Laminated plastics plate & sheet,D,30,308,3083
"Laminated plastics plate, sheet, & shape mfg",D,30,308,3083
Plastics pipe,D,30,308,3084
Plastics pipe & pipe fitting mfg (pt),D,30,308,3084
Plastics bottles,D,30,308,3085
Plastics bottle mfg,D,30,308,3085
Plastics foam products,D,30,308,3086
Polystyrene foam product mfg,D,30,308,3086
Urethane & other foam product (except polystyrene) mfg,D,30,308,3086
Custom compound purchased resins,D,30,308,3087
Custom compounding of purchased resin,D,30,308,3087
Plastics plumbing fixtures,D,30,308,3088
Plastics plumbing fixture mfg,D,30,308,3088
"Plastics products, n.e.c.",D,30,308,3089
Plastics pipe & pipe fitting mfg (pt),D,30,308,3089
All other plastics product mfg (pt),D,30,308,3089
Residential electric lighting fixture mfg (pt),D,30,308,3089
Leather and leather products,D,31,31,31
Leather tanning and finishing,D,31,311,311
Leather tanning & finishing,D,31,311,3111
Leather & hide tanning & finishing (pt),D,31,311,3111
Footwear cut stock,D,31,313,313
Footwear cut stock & findings,D,31,313,3131
All other leather good mfg (pt),D,31,313,3131
All other miscellaneous wood product mfg (pt),D,31,313,3131
"Fastener, button, needle, & pin mfg (pt)",D,31,313,3131
"Footwear, except rubber",D,31,314,314
House slippers,D,31,314,3142
House slipper mfg,D,31,314,3142
"Men's footwear, except athletic",D,31,314,3143
Men's footwear (except athletic) mfg,D,31,314,3143
"Women's footwear, except athletic",D,31,314,3144
Women's footwear (except athletic) mfg,D,31,314,3144
"Footwear, except rubber, n.e.c.",D,31,314,3149
Other footwear mfg,D,31,314,3149
Leather gloves and mittens,D,31,315,315
Leather gloves & mittens,D,31,315,3151
Glove & mitten mfg (pt),D,31,315,3151
Luggage,D,31,316,316
Luggage,D,31,316,3161
Luggage mfg,D,31,316,3161
Handbags and personal leather goods,D,31,317,317
Women's handbags & purses,D,31,317,3171
Women's handbag & purse mfg,D,31,317,3171
"Personal leather goods, n.e.c.",D,31,317,3172
Personal leather good (except women's handbag & purse) mfg,D,31,317,3172
"Leather goods, n.e.c.",D,31,319,319
"Leather goods, n.e.c.",D,31,319,3199
All other leather good mfg (pt),D,31,319,3199
"Stone, clay, and glass products",D,32,32,32
Flat glass,D,32,321,321
Flat glass,D,32,321,3211
Flat glass mfg,D,32,321,3211
"Glass and glassware, pressed or blown",D,32,322,322
Glass containers,D,32,322,3221
Glass container mfg,D,32,322,3221
"Pressed & blown glass, n.e.c.",D,32,322,3229
Other pressed & blown glass & glassware mfg,D,32,322,3229
Products of purchased glass,D,32,323,323
Products of purchased glass,D,32,323,3231
Glass product mfg made of purchased glass,D,32,323,3231
"Cement, hydraulic",D,32,324,324
"Cement, hydraulic",D,32,324,3241
Cement mfg,D,32,324,3241
Structural clay products,D,32,325,325
Brick & structural clay tile,D,32,325,3251
Brick & structural clay tile mfg,D,32,325,3251
Ceramic wall & floor tile,D,32,325,3253
Ceramic wall & floor tile mfg,D,32,325,3253
Clay refractories,D,32,325,3255
Clay refractory mfg,D,32,325,3255
"Structural clay products, n.e.c.",D,32,325,3259
Other structural clay product mfg,D,32,325,3259
Pottery and related products,D,32,326,326
Vitreous plumbing fixtures,D,32,326,3261
Vitreous china plumbing fixture & bathroom accessories mfg,D,32,326,3261
Vitreous china food utensils,D,32,326,3262
"Vitreous china, fine earthenware, & other pottery product mfg (pt",D,32,326,3262
Fine earthenware food utensils,D,32,326,3263
"Vitreous china, fine earthenware, & other pottery product mfg (pt",D,32,326,3263
Porcelain electrical supplies,D,32,326,3264
Porcelain electrical supply mfg,D,32,326,3264
"Pottery products, n.e.c.",D,32,326,3269
"Vitreous china, fine earthenware, & other pottery product mfg (pt",D,32,326,3269
"Concrete, gypsum, and plaster products",D,32,327,327
Concrete brick & block,D,32,327,3271
Concrete block & brick mfg,D,32,327,3271
"Concrete products, n.e.c.",D,32,327,3272
Concrete pipe mfg,D,32,327,3272
Other concrete product mfg,D,32,327,3272
All other miscellaneous nonmetallic mineral product mfg (pt),D,32,327,3272
Ready-mixed concrete,D,32,327,3273
Ready-mix concrete mfg,D,32,327,3273
Lime,D,32,327,3274
Lime mfg,D,32,327,3274
Gypsum products,D,32,327,3275
Gypsum product mfg (pt),D,32,327,3275
Cut stone and stone products,D,32,328,328
Cut stone & stone products,D,32,328,3281
Cut stone & stone product mfg,D,32,328,3281
Miscellaneous nonmetallic mineral products,D,32,329,329
Abrasive products,D,32,329,3291
Abrasive product mfg,D,32,329,3291
All other miscellaneous fabricated metal product mfg (pt),D,32,329,3291
Asbestos products,D,32,329,3292
All other miscellaneous nonmetallic mineral product mfg (pt),D,32,329,3292
Motor vehicle brake system mfg (pt),D,32,329,3292
"Minerals, ground or treated",D,32,329,3295
Ground or treated mineral & earth mfg,D,32,329,3295
Mineral wool,D,32,329,3296
Mineral wool mfg,D,32,329,3296
Nonclay refractories,D,32,329,3297
Nonclay refractory mfg,D,32,329,3297
"Nonmetallic mineral products, n.e.c.",D,32,329,3299
"Vitreous china, fine earthenware, & other pottery product mfg (pt",D,32,329,3299
Gypsum product mfg (pt),D,32,329,3299
All other miscellaneous nonmetallic mineral product mfg (pt),D,32,329,3299
Primary metal industries,D,33,33,33
Blast furnace and basic steel products,D,33,331,331
Blast furnaces & steel mills,D,33,331,3312
All other petroleum & coal products mfg (pt),D,33,331,3312
Iron & steel mills (pt),D,33,331,3312
Electrometallurgical products,D,33,331,3313
Electrometallurgical ferroalloy product mfg,D,33,331,3313
"Other nonferrous metal secondary smelting, refining, & alloying (",D,33,331,3313
Steel wire & related products,D,33,331,3315
Steel wire drawing,D,33,331,3315
Other fabricated wire product mfg (pt),D,33,331,3315
Cold finishing of steel shapes,D,33,331,3316
Cold-rolled steel shape mfg,D,33,331,3316
Steel pipe & tubes,D,33,331,3317
Iron & steel pipes & tubes mfg from purchased steel,D,33,331,3317
Iron and steel foundries,D,33,332,332
Gray iron foundries,D,33,332,3321
Iron foundries (pt),D,33,332,3321
Malleable iron foundries,D,33,332,3322
Iron foundries (pt),D,33,332,3322
Steel investment foundries,D,33,332,3324
Steel investment foundries,D,33,332,3324
"Steel foundries, n.e.c.",D,33,332,3325
Steel foundries (except investment),D,33,332,3325
Primary nonferrous metals,D,33,333,333
Primary copper,D,33,333,3331
Primary smelting & refining of copper,D,33,333,3331
Primary aluminum,D,33,333,3334
Primary aluminum production,D,33,333,3334
"Primary nonferrous metals, n.e.c.",D,33,333,3339
Other nonferrous metal primary smelting & refining,D,33,333,3339
Secondary nonferrous metals,D,33,334,334
Secondary nonferrous metals,D,33,334,3341
Secondary smelting & alloying of aluminum (pt),D,33,334,3341
"Secondary smelting, refining, & alloying of copper (pt)",D,33,334,3341
"Other nonferrous metal secondary smelting, refining, & alloying (",D,33,334,3341
Nonferrous rolling and drawing,D,33,335,335
Copper rolling & drawing,D,33,335,3351
"Copper rolling, drawing, & extruding",D,33,335,3351
"Aluminum sheet, plate, & foil",D,33,335,3353
"Aluminum sheet, plate, & foil mfg",D,33,335,3353
Fabricated pipe & pipe fitting mfg (pt),D,33,335,3353
Aluminum extruded products,D,33,335,3354
Aluminum extruded product mfg,D,33,335,3354
"Aluminum rolling & drawing, n.e.c.",D,33,335,3355
Other aluminum rolling & drawing (pt),D,33,335,3355
"Nonferrous rolling & drawing, n.e.c.",D,33,335,3356
"Other nonferrous metal rolling, drawing, & extruding (pt)",D,33,335,3356
Nonferrous wire drawing & insulating,D,33,335,3357
Other aluminum rolling & drawing (pt),D,33,335,3357
Copper wire (except mechanical) drawing,D,33,335,3357
"Other nonferrous metal rolling, drawing, & extruding (pt)",D,33,335,3357
Fiber optic cable mfg,D,33,335,3357
Other communication & energy wire mfg,D,33,335,3357
Nonferrous foundries (castings),D,33,336,336
Aluminum die-castings,D,33,336,3363
Aluminum die-casting foundries,D,33,336,3363
"Nonferrous die-casting, except aluminum",D,33,336,3364
Nonferrous (except aluminum) die-casting foundries,D,33,336,3364
Aluminum foundries,D,33,336,3365
Aluminum foundries (except die-casting),D,33,336,3365
Copper foundries,D,33,336,3366
Copper foundries (except die-casting),D,33,336,3366
"Nonferrous foundries, n.e.c.",D,33,336,3369
Other nonferrous foundries (except die-casting),D,33,336,3369
Miscellaneous primary metal products,D,33,339,339
Metal heat treating,D,33,339,3398
Metal heat treating,D,33,339,3398
"Primary metal products, n.e.c.",D,33,339,3399
Iron & steel mills (pt),D,33,339,3399
Secondary smelting & alloying of aluminum (pt),D,33,339,3399
"Secondary smelting, refining, & alloying of copper (pt)",D,33,339,3399
"Other nonferrous metal secondary smelting, refining, & alloying (",D,33,339,3399
Other fabricated wire product mfg (pt),D,33,339,3399
Fabricated metal products,D,34,34,34
Metal cans and shipping containers,D,34,341,341
Metal cans,D,34,341,3411
Metal can mfg,D,34,341,3411
"Metal barrels, drums, & pails",D,34,341,3412
Other metal container mfg (pt),D,34,341,3412
"Cutlery, handtools, and hardware",D,34,342,342
Cutlery,D,34,342,3421
Cutlery & flatware (except precious) mfg (pt),D,34,342,3421
"Hand & edge tools, n.e.c.",D,34,342,3423
Hand & edge tool mfg (pt),D,34,342,3423
Hand saws & saw blades,D,34,342,3425
Saw blade & handsaw mfg,D,34,342,3425
"Hardware, n.e.c.",D,34,342,3429
Other metal container mfg (pt),D,34,342,3429
Hardware mfg (pt),D,34,342,3429
Other metal valve & pipe fitting mfg (pt),D,34,342,3429
"Plumbing and heating, except electric",D,34,343,343
Metal sanitary ware,D,34,343,3431
Enameled iron & metal sanitary ware mfg,D,34,343,3431
Plumbing fittings & brass goods,D,34,343,3432
Plumbing fixture fitting & trim mfg,D,34,343,3432
All other miscellaneous fabricated metal product mfg (pt),D,34,343,3432
"Heating equipment, except electric",D,34,343,3433
Heating equipment (except warm air furnaces) mfg (pt),D,34,343,3433
Fabricated structural metal products,D,34,344,344
Fabricated structural metal,D,34,344,3441
Fabricated structural metal mfg (pt),D,34,344,3441
"Metal doors, sash, & trim",D,34,344,3442
Metal window & door mfg (pt),D,34,344,3442
"Fabricated plate work, boiler shops",D,34,344,3443
Plate work mfg,D,34,344,3443
Power boiler & heat exchanger mfg,D,34,344,3443
Metal tank (heavy gauge) mfg,D,34,344,3443
AC & warm air heating & commercial/industrial refrig equip mfg (p,D,34,344,3443
Sheet metal work,D,34,344,3444
Sheet metal work mfg,D,34,344,3444
Other metal container mfg (pt),D,34,344,3444
Architectural metal work,D,34,344,3446
Ornamental & architectural metal work mfg (pt),D,34,344,3446
Prefabricated metal buildings,D,34,344,3448
Prefabricated metal building & component mfg,D,34,344,3448
Miscellaneous metal work,D,34,344,3449
Custom roll forming,D,34,344,3449
Fabricated structural metal mfg (pt),D,34,344,3449
Metal window & door mfg (pt),D,34,344,3449
Ornamental & architectural metal work mfg (pt),D,34,344,3449
"Screw machine products, bolts, etc.",D,34,345,345
Screw machine products,D,34,345,3451
Precision turned product mfg,D,34,345,3451
"Bolts, nuts, rivets, & washers",D,34,345,3452
"Bolt, nut, screw, rivet, & washer mfg",D,34,345,3452
Metal forgings and stampings,D,34,346,346
Iron & steel forgings,D,34,346,3462
Iron & steel forging,D,34,346,3462
Nonferrous forgings,D,34,346,3463
Nonferrous forging,D,34,346,3463
Automotive stampings,D,34,346,3465
Motor vehicle metal stamping,D,34,346,3465
Crowns & closures,D,34,346,3466
Crown & closure mfg,D,34,346,3466
"Metal stampings, n.e.c.",D,34,346,3469
Metal stamping,D,34,346,3469
"Kitchen utensil, pot, & pan mfg",D,34,346,3469
"Metal services, n.e.c.",D,34,347,347
Plating & polishing,D,34,347,3471
"Electroplating, plating, polishing, anodizing, & coloring",D,34,347,3471
Metal coating & allied services,D,34,347,3479
Metal coating/engraving (exc jewelry/silverware)/allied services,D,34,347,3479
Jewelry (except costume) mfg (pt),D,34,347,3479
Silverware & plated ware mfg (pt),D,34,347,3479
Costume jewelry & novelty mfg (pt),D,34,347,3479
"Ordnance and accessories, n.e.c.",D,34,348,348
Small arms ammunition,D,34,348,3482
Small arms ammunition mfg,D,34,348,3482
"Ammunition, except small arms, n.e.c.",D,34,348,3483
Ammunition (except small arms) mfg,D,34,348,3483
Small arms,D,34,348,3484
Small arms mfg,D,34,348,3484
"Ordnance & accessories, n.e.c.",D,34,348,3489
Other ordnance & accessories mfg,D,34,348,3489
Miscellaneous fabricated metal products,D,34,349,349
Industrial valves,D,34,349,3491
Industrial valve mfg,D,34,349,3491
Fluid power valves & hose fittings,D,34,349,3492
Fluid power valve & hose fitting mfg (pt),D,34,349,3492
"Steel springs, except wire",D,34,349,3493
Spring (heavy gauge) mfg,D,34,349,3493
"Valves & pipe fittings, n.e.c.",D,34,349,3494
Other metal valve & pipe fitting mfg (pt),D,34,349,3494
All other miscellaneous fabricated metal product mfg (pt),D,34,349,3494
Wire springs,D,34,349,3495
Spring (light gauge) mfg,D,34,349,3495
"Watch, clock, & part mfg (pt)",D,34,349,3495
Miscellaneous fabricated wire products,D,34,349,3496
Other fabricated wire product mfg (pt),D,34,349,3496
Metal foil & leaf,D,34,349,3497
Laminated aluminum foil mfg for flexible packaging uses,D,34,349,3497
All other miscellaneous fabricated metal product mfg (pt),D,34,349,3497
Fabricated pipe & fittings,D,34,349,3498
Fabricated pipe & pipe fitting mfg (pt),D,34,349,3498
"Fabricated metal products, n.e.c.",D,34,349,3499
Powder metallurgy part mfg,D,34,349,3499
Other metal container mfg (pt),D,34,349,3499
Hardware mfg (pt),D,34,349,3499
Other metal valve & pipe fitting mfg (pt),D,34,349,3499
All other miscellaneous fabricated metal product mfg (pt),D,34,349,3499
"Showcase, partition, shelving, & locker mfg (pt)",D,34,349,3499
Costume jewelry & novelty mfg (pt),D,34,349,3499
Industrial machinery and equipment,D,35,35,35
Engines and turbines,D,35,351,351
Turbines & turbine generator sets,D,35,351,3511
Turbine & turbine generator set unit mfg,D,35,351,3511
"Internal combustion engines, n.e.c.",D,35,351,3519
Other engine equipment mfg (pt),D,35,351,3519
All other motor vehicle parts mfg (pt),D,35,351,3519
Farm and garden machinery,D,35,352,352
Farm machinery & equipment,D,35,352,3523
Hand & edge tool mfg (pt),D,35,352,3523
